video_id,title,view_count,like_count,comment_count,duration,duration_seconds,upload_date,upload_hour,day_of_week,category
bKLdQe1cDfw,Google Maps က ဘယ်လိုပိုက်ဆံရှာလဲ,86286,5214,184,14:32,872,2025-12-16,12:30,Tuesday,Knowledge
yiLey7rtR5A,တစ်စက္ကန့်ကို 38 သိန်းလောက်ကုန်နေတဲ့ YouTube ရဲ့နောက်ကွယ်ကအလုပ်လုပ်ပုံတွေကိုဖောက်သည်ချမယ်..,143724,7851,335,15:26,926,2025-12-15,12:31,Monday,Knowledge
ZPXO5_yIQUY,Where Winds Meet ကို ဘယ်ဖုန်းတွေမှာ ဆော့လို့အဆင်ပြေမလဲ?,148310,7514,656,18:44,1124,2025-12-13,13:01,Saturday,Review
_D_tF3Hk0LI,လက်၂ချောင်းဂိမ်းတွေကနေ ရုန်းထွက်ချင်သူတွေအတွက် GameSir X5s,53486,2446,199,15:03,903,2025-12-12,12:30,Friday,uncategorized
wQ8Yn6qzWnY,၁ သိန်းက နေ ၁၀ သိန်းအထိ Second phone တွေကို ဝယ်ပြီးစမ်းကြည့်မယ်,140275,7093,469,22:43,1363,2025-12-10,12:31,Wednesday,Review
xo2DLIjqO0s,OnePlus ပြန်လာပြီလား : OnePlus Nord 5 Review,52148,2152,157,9:24,564,2025-12-02,12:31,Tuesday,Review
vUFSSDpjNI0,မသန်စွမ်းတွေလဲ Iron Man ဖြစ်နိုင်နေပြီ - ပိုက်ဆံရှိရင်ပေါ့ :3,41174,2187,81,17:51,1071,2025-12-01,13:30,Monday,Knowledge
ker8Rp3_PcU,ဖုန်းကို အိပ်ကပ်ထဲထည့်ထားရင် ပန်းသေမှာလား?,73443,4359,208,16:58,1018,2025-11-30,12:31,Sunday,Knowledge
EaRPjYDgAbo,Nothing ရဲ့အတန်ဆုံး Promotion,73840,3303,224,21:52,1312,2025-11-22,12:30,Saturday,Showcases
3Tw0w1L5RJk,HUAWEI WATCH GT6 Pro : အားမသွင်းဘဲ ၃ ပတ်သုံးလိုရမယ်ဆိုပဲ,40993,1580,102,9:56,596,2025-11-20,11:30,Thursday,Showcases
2lSJNXNqASQ,Origami : ရှေးဟောင်းအနုပညာလား အာကာသနည်းပညာလား?,70777,4429,152,10:53,653,2025-11-17,12:30,Monday,Knowledge
v16QNjSnrKo,အချမ်းသာဆုံးလူတွေကဘာလို့ Technology Industry ကဖြစ်နေရတာလဲ?,116639,5236,154,18:06,1086,2025-11-10,12:31,Monday,Knowledge
xfpkk7ROK-w,တစ်ခါထွင်၊ တစ်သက်လုံးထိုင်စားပြီး ချမ်းသာနေတဲ့ Tech Company တွေ,100090,5245,161,13:20,800,2025-11-05,12:31,Wednesday,Knowledge
PpUyZdpTLAU,Huawei Pura 80 Ultra က DxOMark Mobile နံပတ် ၁ နဲ့ ထိုက်တန်လား?,86782,3458,215,9:40,580,2025-11-01,10:30,Saturday,Showcases
iZ52o0cLJaw,တစ်ကျော့ပြန်လာနေတဲ့ မေ့ပျောက်ခံ Analog Computer တွေ,80018,3441,159,23:38,1418,2025-10-29,12:31,Wednesday,Knowledge
LM11t6d8_BY,ဖုန်းကို မြန်မာလိုကြီးသုံးနေရတာ ရိုးနေပြီလား?,101752,6476,233,9:44,584,2025-10-27,13:30,Monday,Tips & Tricks
wEihcceaMAk,SGS certified ဖြစ်တယ်ဆိုတာဘာကြီးလဲ? အဲ့ဒါရတော့ဘာတွေထူးသွားလဲ?,37562,1711,78,13:01,781,2025-10-24,12:31,Friday,Showcases
P40Hh8Xe8K8,ဒိုင်နိုဆောတွေကို ပြန်အသက်သွင်းလို့ရလား 🤔,141533,7902,439,17:25,1045,2025-10-21,12:30,Tuesday,Knowledge
fRpM5UAwoBU,ဘောပွဲတွေကြည့်ရင် Feel ရှိအောင်လုပ်ပေးနေတဲ့ Tech တွေ,99623,7215,464,14:30,870,2025-10-20,12:30,Monday,Knowledge
Z4zHIzUPN_Q,"စစ်တုရင်ခုံပေါ်က ""မြေရှား""",222248,11423,690,25:54,1554,2025-10-17,12:30,Friday,Knowledge
aNc7AHFYncc,မှန်ကွဲရင် တစ်သိန်းလျော်ပေးမယ်ဆိုတဲ့ မှန်မကွဲ,42874,2149,145,9:39,579,2025-10-16,12:30,Thursday,Showcases
3fewWIl3Ino,ဒီ Brand မလို့ကို မကြိုက်တာ,174315,8520,690,17:39,1059,2025-10-15,12:30,Wednesday,Knowledge
vPrgFRmPbqI,Silicon Valley ဘယ်ကနေဘယ်လိုစဖြစ်လာလဲ?,58902,3295,108,12:28,748,2025-10-12,12:31,Sunday,Knowledge
x_R2flx5P2c,AI ကိုစာဘယ်လိုသင်ခိုင်းမလဲ?,150525,9008,301,25:59,1559,2025-10-02,13:30,Thursday,Tips & Tricks
rk1wcoZse1c,QWERTY : စံဖြစ်သွားတဲ့ ဒီဇိုင်းဆိုးတစ်ခု,46931,2500,112,12:43,763,2025-10-01,12:31,Wednesday,Knowledge
vdrZ6cMJMBg,ASUS Zenbook A14 : လှတာမက်ရင် ညစာခက်မှာလား?,37318,1530,104,17:13,1033,2025-09-30,12:31,Tuesday,Showcases
jI7h3S8pg8E,AI ရေဘယ်လောက်သောက်လဲ?,238418,12056,610,16:32,992,2025-09-26,12:31,Friday,Knowledge
OF0f5SyQyqQ,Redmagic 10 Air : Review,94374,4052,208,13:51,831,2025-09-25,14:00,Thursday,Review
QTLW_1pVAfA,OnePlus Pad 3: Android Tablet တွေရဲ့ မျှော်လင့်ချက်အသစ်လား?,63295,2276,139,16:39,999,2025-09-24,14:00,Wednesday,Review
duwRK51d4Vw,ဘယ်လို hack ကြလဲ လက်တွေ့လုပ်ပြမယ်..,352623,19334,801,14:47,887,2025-09-23,14:01,Tuesday,Knowledge
xgmx3etMcaQ,Xiaomi 17 : အိုင်ဖုန်းတွေကြားမှာ ဒို့ကိုမေ့နေပြီလား?,177809,6820,369,7:07,427,2025-09-22,13:02,Monday,Leaks
TA6XKckCXVY,iPhone 17 Pro Max ကဘာထူးလဲ?,337550,8810,442,19:29,1169,2025-09-20,13:30,Saturday,uncategorized
4uIhwBuyJhQ,iPhone 17 Series ကို Unboxing & First Impression လုပ်ကြည့်တဲ့အခါ,227482,9686,539,20:39,1239,2025-09-19,13:30,Friday,First Impressions
9a_dTg0QqI4,၅ သိန်းအောက်ဖုန်းတွေမှာ ဆော့လို့ရမယ့် ဂိမ်း ၁၀ မျိုး,98560,5677,350,22:56,1376,2025-09-18,13:30,Thursday,Tips & Tricks
Z3DcvJO3dNg,ပုံပေါင်းသန်းချီကို လက်နဲ့ဆွဲခဲ့တဲ့ Disney ရဲ့ ရွှေခေတ် Animation နည်းပညာ,135185,6634,251,26:14,1574,2025-09-17,12:30,Wednesday,Knowledge
GxRKDR1pEWQ,iPhone 17 Series : အားလုံးအတွက် 120Hz!,258958,11385,537,16:23,983,2025-09-09,20:30,Tuesday,Launch Events
XAejuxWxxGc,Viber Plus ကိုစမ်းသုံးကြည့်ချင်ရင် အခုအချိန်ဝယ်,43176,1670,117,5:24,324,2025-09-08,12:30,Monday,Showcases
S61GcRruxbs,Meizu Lucky 08 Review : 2025 ရဲ့ ကွက်ပျောက်ဘုရင်?,66821,3109,220,13:14,794,2025-09-04,13:30,Thursday,uncategorized
qJaLo0KEhnU,EPZ G20 : Mic ကောင်းကောင်းနဲ့ Gaming IEM လိုချင်တယ်ဆိုရင် ဒါကြည့်,33610,1600,107,13:21,801,2025-08-29,13:01,Friday,Review
QOamv2iSono,Nothing ဘယ်လိုဖြစ်လာသလဲ?,208919,6448,229,19:48,1188,2025-08-25,13:00,Monday,Company Profiles
-G7D99CwVOo,Graphics Designer တွေတော့ထမင်းငတ်လောက်အောင်ကြမ်းတဲ့ ငှက်ပျောသီး,108869,5106,227,23:36,1416,2025-08-22,12:43,Friday,Knowledge
UGaEArLsT9c,Apple အား Google မှ ဆုံးမတော်မူခန်း Google Pixel 10 series Launch,134332,5042,196,14:44,884,2025-08-21,13:30,Thursday,Launch Events
0T6RrZbnNDA,ကျောက်ကပ်ရောင်းစရာမလိုတဲ့ Gaming Laptop (ASUS TUF F16 2025),72140,2677,161,18:17,1097,2025-08-18,12:30,Monday,uncategorized
ztsjfRNYjbE,Retroid Pocket 5 နဲ့ Flip 2 အကြောင်းပြောကြမယ်,45784,1558,159,39:38,2378,2025-08-16,12:31,Saturday,Review
EB01hza0rb0,ဈေးသက်သာတဲ့ tablet ရှာနေရင် ဘာမှမစဥ်းစားနဲ့ ဒါဝယ်..,319245,9821,349,15:21,921,2025-08-13,13:30,Wednesday,Review
eKcV73F48F8,Tecno Pova 7 Review : အလကားဈေးသက်သာနေတာမဟုတ်ဘူး,127972,4553,380,12:54,774,2025-08-12,12:30,Tuesday,Review
0RcUk-SOThM,UPDF Review : PDF နဲ့ပက်သက်ပြီး စွယ်စုံသုံး App,40684,2448,183,10:48,648,2025-08-11,13:30,Monday,Review
rnx7gfGW2GA,Nintendo Switch 2 အကြောင်းပြောပြမယ်,99718,3105,273,63:54,3834,2025-08-09,13:30,Saturday,Review
6cb94XoOjnE,ဘာသာစကားတွေ Free လေ့လာကြမယ်ဆိုရင်...,87234,7209,255,12:47,767,2025-08-06,13:30,Wednesday,Tips & Tricks
BWxy7N6kSbw,OPPO Reno14 Pro 5G : ဈေးကြီးကြီး premium ဖြစ်ဖြစ် mid range?,59084,2126,354,11:37,697,2025-07-28,12:30,Monday,Showcases
p8O3kbAIRJU,itel City 100 : ၃သိန်းခွဲတန် ဖုန်းအသစ်,51908,2192,124,8:31,511,2025-07-27,13:01,Sunday,Showcases
-HTD3b0SLgc,POCO F7 နဲ့ Turbo 4 pro က တူမလိုလိုနဲ့မတူဘူး,95605,3369,289,12:17,737,2025-07-25,12:30,Friday,Review
CVoA30_V_tI,EWEADN S9 Pro : Razer Viper V3 Pro Clone လား Killer လား ?,17264,616,50,10:27,627,2025-07-22,12:00,Tuesday,Review
mSLRdSaj900,OPPO Pad SE : Showcase,40979,1505,98,8:02,482,2025-07-21,12:31,Monday,Showcases
zwX6Xg2XO54,ဒီနှစ်ထွက် ၅သိန်းဝန်းကျင်တန် HONOR X6c က ဘယ်လိုနေလဲ?,59381,2206,104,8:34,514,2025-07-20,12:31,Sunday,Showcases
JHuKAeI83zs,ZTE Axon 40 Ultra ကိုအခုအချိန်မှာ ဝယ်သင့်သေးလား ?,38255,1743,107,13:47,827,2025-07-18,12:30,Friday,Review
Dktyq3RhPT0,Mac တွေက ဈေးမကြီးတော့ဘူး,148391,4857,347,17:03,1023,2025-07-14,13:30,Monday,Tips & Tricks
9mb-QoRnRu0,ဘန်ကောက်မှာနေပြီး iPhone Battery မခံတော့ဘူးဆိုရင် FREE လဲပေးမယ်,31209,1405,126,23:19,1399,2025-07-13,12:30,Sunday,Showcases
tddtvJGqNzo,Itel VistaTab GT လား 30S လား? ဘယ်သူ့ကို ရွေးရမလဲ?,20709,753,69,6:54,414,2025-07-11,14:30,Friday,Showcases
p1PnX7oEJZU,nubia ဆိုတဲ့ Brand ဘယ်လိုဖြစ်လာလဲ?,57074,2701,166,10:51,651,2025-07-10,13:30,Thursday,Company Profiles
laQhEEX0PpI,Samsung ခေါက်ဖုန်းတွေ ဒီနှစ်ကြမ်းပြီလား?,79836,3171,128,8:19,499,2025-07-09,17:22,Wednesday,First Impressions
jAEq4n3Fmq4,Google Drive ကို ဘယ်လိုတွေသုံးလို့ရသေးလဲ?,80659,4779,203,14:42,882,2025-07-08,12:30,Tuesday,Tips & Tricks
YpBTOaOUxck,Xiaomi 15S Pro : Xiaomi နောက်ပိုင်းကြမ်းမည်,103222,4342,234,12:39,759,2025-07-07,12:30,Monday,Review
wt9izfs1dPQ,itel Vista Tab11 Showcase : ၅သိန်းတန် Tablet ဆိုတာ...,33694,1539,59,7:08,428,2025-07-06,12:31,Sunday,Showcases
BGmfjok3yts,TECNO POVA Curve 5G Showcase: ပါးပါးနဲ့ ဂိမ်းဆော့ချင်ရင်,48304,1914,181,9:49,589,2025-07-05,13:48,Saturday,Showcases
074_pxfnnS0,Genetic Genealogy : အမျိုးစပ်ပြီး မှုခင်းတွေဘယ်လိုဖြေရှင်းလဲ?,108409,5312,377,27:12,1632,2025-07-04,14:00,Friday,Knowledge
B3IWnOPvSsw,ပေါခြောင်ကောင်း : Redmi buds 6 Active,55639,2227,165,10:33,633,2025-07-03,12:30,Thursday,Review
bZp6Jc3Lhkc,Mac သုံးတဲ့သူတိုင်း မဖြစ်မနေသုံးသင့်တဲ့ raycast,45577,1713,97,13:50,830,2025-06-27,13:30,Friday,Tips & Tricks
2H5HUEzNX4w,POCO M7 Pro Showcase : ဒီဈေးမှာရော တန်သေးလား?,59545,2475,186,10:26,626,2025-06-24,12:30,Tuesday,Showcases
CQHHR0Au2rA,Huawei Watch Fit 4 series က ဘယ်လိုနေမလဲ?,7679,230,5,1:11,71,2025-06-23,13:00,Monday,Shorts
eBB7M1vtHcQ,CMF phone  2 Pro က ကျွန်တော်တို့ထင်သလိုမဟုတ်ခဲ့ဘူး,63374,2313,149,14:13,853,2025-06-23,12:30,Monday,Review
x-YWQN5qO9w,AI နဲ့လုပ်ထားတဲ့ Video မှန်းဘယ်လိုသိနိုင်မလဲ?,179342,7571,351,21:18,1278,2025-06-22,15:30,Sunday,Knowledge
pp9sH33ktnM,အထှာကျကျ Facebook ဘယ်လို ပွတ်မလဲ?,7379,321,6,1:18,78,2025-06-22,09:01,Sunday,Shorts
83ZmNJAudR4,MADLIONS 68HE : Mechanical Keyboard ခေတ်ကုန်သွားပြီလား?,33238,1326,76,14:47,887,2025-06-21,12:30,Saturday,Review
WFCWuINO5I8,နိုင်ငံတော် ဘရန်း Tablet ဆိုတာ ဒီလိုမျိုး,8201,277,7,1:14,74,2025-06-21,11:30,Saturday,Shorts
xIsOMXjvGcE,လက်၂ချောင်း စိုက်ပျိုးရေးဂိမ်း ဆော့ကြည့်ကြမယ်,0,1,0,0:00,0,2025-06-21,08:43,Saturday,uncategorized
k9wtasDlWx0,လိုတရ Company ကြီး Amazon,3732,110,0,1:21,81,2025-06-21,07:00,Saturday,Shorts
R8hGsDgnWX4,RTX 5080 ပါတဲ့ MSI Vector 16 HX ကိုကြည့်ကြည့်ကြမယ်,3378,110,3,1:23,83,2025-06-20,14:30,Friday,Shorts
UC_NY-CV-ck,Find N5 က လက်ရှိအကြမ်းဆုံး Foldable ပဲလား?,6307,263,8,1:18,78,2025-06-20,14:00,Friday,Shorts
62GMca-PSZc,MSI Stealth 18HX Showcase : ကြီးမှ ကြိုက်တဲ့ brother တို့အတွက်,28193,1072,85,18:56,1136,2025-06-20,12:30,Friday,Showcases
0DVzfH67ED0,နောက်ဆုံးပေါ်ထဲမှာ အပါးဆုံးဖုန်း,8001,224,3,1:20,80,2025-06-20,12:00,Friday,Shorts
s0du2H5ajQA,OPPO A5 က အကြမ်းခံတယ်ဆို?,19766,586,9,0:56,56,2025-06-19,15:01,Thursday,Shorts
4XZTuNWXTrg,POCO ဖြစ်တိုင်းကောင်းလား?,8897,428,7,1:06,66,2025-06-19,15:00,Thursday,Shorts
5cliFFjzqxg,ငါးခြောက်ဆိုင်ကနေ ဘဝစခဲ့တဲ့ Samsung ဆိုတဲ့ အစုံသုပ်ဆိုင်ကြီးအကြောင်း ပြောပြမယ်,4084,177,3,1:30,90,2025-06-19,13:30,Thursday,Shorts
WcdXER7mEUE,Redmi Turbo 4 Pro : ထီထိုးရသလိုပဲ 🥴,246145,8811,684,16:29,989,2025-06-19,12:30,Thursday,Review
wUvuMHdiWfc,HONOR Pad X9a အကြောင်းပြောကြမယ်,4667,143,2,1:23,83,2025-06-19,11:30,Thursday,Shorts
ZKfO-lDySVA,ပိုကြမ်းလာတဲ့ JBL ရဲ့ Charge 6 နဲ့ Flip 7,1841,39,1,1:25,85,2025-06-19,11:30,Thursday,Shorts
9EK7T_IHkyE,TECNO Camon 40 Pro 4G အကြောင်းပြောကြမယ်,7645,270,5,1:32,92,2025-06-19,08:30,Thursday,Shorts
cSo7woGMBdY,အင်တာနက်ပေါ်က လူမိုက်ရပ်ကွက်,3815,199,1,1:14,74,2025-06-19,02:00,Thursday,Shorts
w34KzuFmLlo,အတော်တိုးတက်လာတဲ့ Infinix Note 50 series အကြောင်းပြောကြမယ်,9801,390,7,1:17,77,2025-06-18,15:01,Wednesday,Shorts
XhXdepOTzrU,Sony ရဲ့ နောက်ဆုံး ပေါ် Flagship ဆိုတာ ဘယ်လိုမျိုးလဲ?,5012,159,1,1:21,81,2025-06-18,15:01,Wednesday,Shorts
WVAjNw63PiY,Honor X9c Smart ဆိုတာ ဘယ်လိုဖုန်းမျိုးလဲ?,6376,219,5,1:28,88,2025-06-18,14:00,Wednesday,Shorts
6qpkwDLZDPA,Honor 400 series အကြောင်းပြောကြရအောင်,10783,378,8,1:27,87,2025-06-18,13:00,Wednesday,Shorts
m8TevV5TlPk,Itel Power 70 အကြောင်းပြောပြမယ်,1896,53,1,1:31,91,2025-06-18,12:52,Wednesday,Shorts
d_iTnmHKg1g,Nothing 3a 3a Pro က တန်သလား?,2486,65,1,1:23,83,2025-06-18,12:51,Wednesday,Shorts
xothCtv5Vl4,နောက်ဆုံးထွက် Samsung ဖုန်း ၃လုံးကို ယှဉ်ကြည့်မယ်,20553,946,6,0:59,59,2025-06-18,12:51,Wednesday,Shorts
4JKSIaqZm4g,Lenovo X1 carbon used က ၁၀သိန်းဝန်းကျင်လက်ရှိ ဝယ်ဖို့အသင့်ဆုံး Laptop ဖြစ်နိုင်မလား?,8309,228,4,1:16,76,2025-06-18,12:50,Wednesday,Shorts
Uyj03lTn_fo,TWS တစ်ခုမှာ အသံကောင်းချင်တာအဓိကပဲဆိုရင် ဒါသာကျုံး,2159,64,1,1:22,82,2025-06-18,12:49,Wednesday,Shorts
003vitN4j60,QR တွေဘယ်လိုအလုပ်လုပ်လဲ?,1828,76,3,1:23,83,2025-06-18,12:49,Wednesday,Shorts
9s6nT0MAkek,စတိုင်ကျကျအမွှေးရိတ်ကြမယ်,2884,145,4,1:31,91,2025-06-18,12:30,Wednesday,Shorts
l2NGoEQ8EOs,Yi-idea Z1 Mini : စတိုင်ကျကျအမွှေးရိတ်ကြမယ်,34749,1662,151,11:44,704,2025-06-18,12:04,Wednesday,Showcases
z4OeTMO4wsk,Samsung : ငါးခြောက်သည်ဘဝမှသည် Galaxy များသို့တိုင်,247377,10102,363,26:59,1619,2025-06-17,12:31,Tuesday,Knowledge
aEKDCyjOGEE,HONOR 400 Series : Flagship နီးပါးကောင်းနိုင်မလား ?,76900,2594,190,14:21,861,2025-06-15,15:55,Sunday,Showcases
Ug7E65gbjS0,Xiaomi Pad 7 Pro Review : နိုင်ငံတော် Tablet,126222,3906,223,19:17,1157,2025-06-14,13:00,Saturday,Review
FxPfFDLIYs8,သိသိသာသာ ပိုကောင်းလာတဲ့ JBL Charge 6 နဲ့ Flip 7 Review,42890,1878,126,14:56,896,2025-06-12,12:30,Thursday,Review
Sa9WdG8ilh8,MSI Vector 16HX : RTX 5080 Performance ကို စမ်းကြည့်တဲ့အခါ,30089,1222,108,27:52,1672,2025-06-11,13:30,Wednesday,Showcases
h5rrgttvidQ,Apple ကတော့ လုပ်ချလိုက်ပြီ 🥴,281045,10081,599,20:25,1225,2025-06-10,13:30,Tuesday,Announcement
pAIbs9YKm2k,Sony Xperia 1 VII : Pro နာမည်မပါတဲ့ Pro အဆန်ဆုံးဖုန်း,109527,4104,240,23:16,1396,2025-06-09,12:30,Monday,Review
jpK5qhNWSLo,Honor Pad X9a : ၁၀ သိန်းဝန်းကျင်မှာ အတန်ဆုံး Budget Tablet ?,45973,1602,97,10:47,647,2025-06-07,12:30,Saturday,Showcases
